Provinsi,Tahun,Produksi,Luas Panen,Curah hujan,Kelembapan,Suhu rata-rata,Produktivitas,Produksi_Lag1,Produksi_Lag2,Produktivitas_Lag1,Curah_Hujan_Mean_Provinsi,Curah_Hujan_Anomaly,Curah_Hujan_Kategori,Comfort_Index,Provinsi_Encoded,Curah_Hujan_Sedang,Curah_Hujan_Tinggi,Curah_Hujan_Sangat Tinggi
Aceh,2019,1714437.6,310012.46,1931.4,83.9,26.65,5.530221591738603,1751996.94,2478922.0,5.316883276424576,1485.7535714285714,445.6464285714287,Sedang,24.876350000000002,0,True,False,False
Aceh,2020,1861567.1,317869.41,1619.2,80.82,25.41,5.856389578349172,1714437.6,1751996.94,5.530221591738603,1485.7535714285714,133.44642857142867,Sedang,22.960962,0,True,False,False
Bengkulu,1993,356709.0,109807.0,4150.0,85.5,25.95,3.248508747165481,444964.84821428574,444964.84821428574,4.078857144577781,3228.0178571428573,921.9821428571427,Sangat Tinggi,24.75225,1,False,False,True
Bengkulu,1994,334232.0,104747.0,2043.0,85.32,25.68,3.1908503346157886,356709.0,444964.84821428574,3.248508747165481,3228.0178571428573,-1185.0178571428573,Tinggi,24.469776,1,False,True,False
Bengkulu,1995,377337.0,115914.0,4478.0,85.49,26.12,3.255318598271132,334232.0,356709.0,3.1908503346157886,3228.0178571428573,1249.9821428571427,Sangat Tinggi,24.894688000000002,1,False,False,True
Bengkulu,1996,396977.0,121929.0,3931.0,85.96,25.66,3.2558046075995044,377337.0,334232.0,3.255318598271132,3228.0178571428573,702.9821428571427,Sangat Tinggi,24.636135999999997,1,False,False,True
Bengkulu,1997,382123.0,113915.0,1167.0,84.0,25.84,3.354457270772067,396977.0,377337.0,3.2558046075995044,3228.0178571428573,-2061.0178571428573,Sedang,24.2256,1,True,False,False
Bengkulu,1998,375533.0,111158.0,4114.0,85.34,26.4,3.3783713272998797,382123.0,396977.0,3.354457270772067,3228.0178571428573,885.9821428571427,Sangat Tinggi,25.08996,1,False,False,True
Bengkulu,1999,381577.0,114788.0,3084.0,84.72,25.81,3.324188939610412,375533.0,382123.0,3.3783713272998797,3228.0178571428573,-144.01785714285734,Sangat Tinggi,24.407832,1,False,False,True
Bengkulu,2000,362979.0,108751.0,3254.0,84.73,24.22,3.33770723947366,381577.0,375533.0,3.324188939610412,3228.0178571428573,25.982142857142662,Sangat Tinggi,23.063506,1,False,False,True
Bengkulu,2001,376973.0,105212.0,3010.0,70.15,26.8,3.582984830627685,362979.0,381577.0,3.33770723947366,3228.0178571428573,-218.01785714285734,Sangat Tinggi,20.904700000000002,1,False,False,True
Bengkulu,2002,379818.0,109519.0,3076.0,68.7192,28.5,3.468055771144733,376973.0,362979.0,3.582984830627685,3228.0178571428573,-152.01785714285734,Sangat Tinggi,19.584972,1,False,False,True
Bengkulu,2003,413375.0,110550.0,3030.0,70.3,29.5,3.7392582541836275,379818.0,376973.0,3.468055771144733,3228.0178571428573,-198.01785714285734,Sangat Tinggi,19.3325,1,False,False,True
Bengkulu,2004,414741.0,110929.0,3277.0,84.28,29.6677,3.7387968880995954,413375.0,379818.0,3.7392582541836275,3228.0178571428573,48.98214285714266,Sangat Tinggi,23.03566244,1,False,False,True
